comment,comment_id,like_count,reply_count,published_at,parent_id,video_id,title,channel,publish_date,views,likes,comments_count
Visit Africa and you'll calm down,UgyNanmAQw5GP-GcxTx4AaABAg.8lr-82A0rk99344OR9XOzy,0,0,2019-12-28T04:27:23Z,UgyNanmAQw5GP-GcxTx4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Hehe they wont be here forever,UgziABrUlapZ6qZZD414AaABAg,1,0,2018-09-29T14:32:43Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"blame that corrupt government(ghana), they doing it fearlessly no police no local people fighting back to stop this happen on their farm land.",UgxL763ofJJXFxbq9Vh4AaABAg,2,0,2018-09-27T16:01:48Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"you said your peoples is chinese , so your own people destroying your mother Ghana . i hate that race .",Ugz15YN1kGXxsV6Srz14AaABAg,0,0,2018-09-26T18:31:02Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
You can't blame the Chinese guy. He paid the local leaders to mine the land. The Ghanaian interviewed is too timid to blame the local politicians!,UgyKuOyKYcaPWJlP6mF4AaABAg,15,0,2018-09-26T06:43:53Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"EYE blame both the Chinese because they come to Afrika with the intentions of thievery and deception for gain for self and China, also the Afrikan leaders whom allow this atrocity knowing it's destroying our people just so they can be Western ideological comfortable",Ugz3NmRKUcPRzsxaXE54AaABAg,0,2,2018-09-26T05:02:33Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Also to add I blame my brothers and sisters there in Ghana for not standing up to the leaders and making them do right.,Ugz3NmRKUcPRzsxaXE54AaABAg.8ldpLFFgRTL8ldq0jXRIQF,0,0,2018-09-26T05:08:29Z,Ugz3NmRKUcPRzsxaXE54AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Don't assume that the Chinese lied. They have no incentive to lie.,Ugz3NmRKUcPRzsxaXE54AaABAg.8ldpLFFgRTL9345bd69Gmt,0,0,2019-12-28T04:38:03Z,Ugz3NmRKUcPRzsxaXE54AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I guess the purpose of this video is to portray Ghanians as weak. They say AKWABA to anybody who wants to exploit them. This would not happen in Nigeria or Ethiopia!,UgxPEtm7ZP9ckgWt5yt4AaABAg,2,1,2018-09-26T04:23:15Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
9ja?,UgxPEtm7ZP9ckgWt5yt4AaABAg.8ldkqPyAgGP93446JlZ99E,1,0,2019-12-28T04:24:54Z,UgxPEtm7ZP9ckgWt5yt4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I blame the Chinese ppl.they take advantage of the African ppl.On top of the table Chinese ppl make it look like they are helping Africa.But under the table they are taking more than what they should.,Ugy9fzsHlxD5yNG-ukZ4AaABAg,2,0,2018-09-26T01:15:41Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Maya, this is one of your best videos. Thank you. Your government is to blame. They are the entity that should protect the country against things like this. The chinese could not do this in Botswana. I was thinking about moving to Ghana and start a business, but I am seriously rethinking it. While Ghana is peacefully, corruption seen to be a grave issue for the country.",UgyniLoyCuJsrt5iz1B4AaABAg,2,1,2018-09-25T23:53:13Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Bring your money, make we chop some",UgyniLoyCuJsrt5iz1B4AaABAg.8ldGwZfZd7t9343sB9Bucf,0,0,2019-12-28T04:22:50Z,UgyniLoyCuJsrt5iz1B4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Protect the farm lands by enacting local laws prohibiting mineral extraction and or other use outside of development and farming. This is a political problem that can be addressed with law and local law enforcement. Deport or imprison violators.,UgwMc1MuxzxXj7xuV-V4AaABAg,2,0,2018-09-25T23:43:53Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I blame Ghana. If you pay someone to do home improvement then catch them stealing from your jewelry box you kick them out have them arrested.,UgzEv6tkKDtFZTQKYYl4AaABAg,24,0,2018-09-25T23:33:23Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Wode Maya... don't be hypocritical kind of person saying that you don't know who to blame.. we know your government is irresponsible, our African governments are the ones to blame for beig such reduculous. Don't come here again and pretend to be a free man that dont know where to put your blames while we exactly know you are an African who is trying to give shits",UgwwaxrYdW_fRKPdK4J4AaABAg,1,1,2018-09-25T22:35:53Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
u can't judge people through videos!This video made ghana took action about illegal minning!,UgwwaxrYdW_fRKPdK4J4AaABAg.8ld85C0qjy18ldi3ZCZl94,1,0,2018-09-26T03:58:57Z,UgwwaxrYdW_fRKPdK4J4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Maya this Africa and the leeches are taking from your country and not putting back how can you be so happy and not have an opinion. You need to man up and get serious.  This is not a joke so stop laughing and carrying on so silly.,UgxHl8m4ExFwDf_Tp_V4AaABAg,1,1,2018-09-25T22:27:26Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Check the date man!,UgxHl8m4ExFwDf_Tp_V4AaABAg.8ld77M43J0J8ldi9WKaruM,0,0,2018-09-26T03:59:46Z,UgxHl8m4ExFwDf_Tp_V4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
They only care about money Nobody cares about Africans,UgxZ6lMhuiNSQ6h5Y0J4AaABAg,0,0,2018-09-25T22:14:37Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Those Chinese officials know what's going on and can stop it at ANY TIME! They won't because they DON'T CARE about Africans, there or anywhere!  That is shown in the United States as well ??",UgylQVI-P2hrNTN535Z4AaABAg,3,0,2018-09-25T21:45:56Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
????,UgyhbYSKzaR4weS9AAx4AaABAg,1,0,2018-09-25T21:41:15Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
That's stealing...and should be treated as such.,UgyuOkeBxTzHF5bWs5R4AaABAg,5,0,2018-09-25T21:32:13Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Inform the police please,UgxOiDJyLwqRmJJKNch4AaABAg,1,0,2018-09-09T08:56:22Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Bro I strongly disagree with you because before they can do anything their must be a strong agreement with them and Ghana government, they can not come to that land without research and been discovered that truly gold is there. So bro ur government has generate income to ur govt country account because gold is ur country national cake, and they not build houses on those land without the natural resources been extract that is another trueth so blame ur govt.",Ugz8QEmVmLzjJvrgac94AaABAg,0,0,2018-09-06T17:04:22Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Chinese are better than US,UgznGX7H0qU94kbHtC54AaABAg,0,0,2018-08-10T08:25:53Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"OMG the destruction of Africa this makes my stomach sick. Keep the videos up so that we know what is going on. That is a lie they are not their to discover the gold they are their to steal it if they are illegally doing so as you mentioned it. The lie that Africa doesn't know how to use the land is a lie you even mentioned it was a farm land to feed Africa... They just exploited the land. If someone breaks into your yard and starts digging holes and you fall into one of those holes and get hurt is it your fault or the intruder who entered your gates and dug holes? Indeed it is the intruder and they should pay damages for your injuries and fees to repair the land as well as fees for the stolen gold plus interest as punishment and possibly jail time depending on amount stolen. I highly advise more media outlets like yours in Africa to report of this information. I read of China being somewhat harsh to Africans in China specifically Ugandians because of crimes some of them may have committed... to the point where innocent people were not allowed to book hotels, not able to eat at restaurants and so on.... should Ghana start halting passport acceptance for Chinese until this issue is resolve of theft of Gold? Should all of Africa stop all Chinese building infrastructure projects until the corruption stops? What I am saying is Africa should apply the same hardships the Chinese apply to Africans in China even the same prison sentences or any other punishments that come with that.",Ugx5vLYvo4ZQTgcq_Lp4AaABAg,0,0,2018-08-01T01:08:03Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
??,UgzB_OdZrohUeE9V-154AaABAg,0,0,2018-07-19T09:26:08Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
??,UgxORX2Xs3xFJXdn_ut4AaABAg,0,0,2018-07-07T16:08:15Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
i couldn't watch the full video. http://bit.ly/Lotcaster,UgzcsPoylTciSj2JPId4AaABAg,0,0,2018-05-06T01:27:28Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Africa must not be your land if you went to China.,Ugy6-mIGxaYfLdrP-gZ4AaABAg,0,0,2018-05-03T23:51:59Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
You need to leave the Chinese alone because the Chinese are helping Africa.,UgygyMwnLdF48MGUC454AaABAg,0,0,2018-05-03T23:51:21Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Extract gold for who?,Ugz8JaHxTsst3oEYvYx4AaABAg,0,0,2018-04-15T03:35:14Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
The citizens can't arm them selves and this is why they are taken advantage of if there were allowed to own a gun this would never happen,UgzOUFI46Fe91__0lAt4AaABAg,3,1,2018-04-02T12:50:38Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
You're too brilliant,UgzOUFI46Fe91__0lAt4AaABAg.8eXuCkFd-Rt9344AbnkKvw,0,0,2019-12-28T04:25:30Z,UgzOUFI46Fe91__0lAt4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Cause mining is  more profitable than agriculture., they paid tax ,they paid Royalty, locals get more benefits than farm.",UgzRmHnxIGHWIlmKN_54AaABAg,2,0,2018-03-18T00:49:15Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"All blacks return to their countries of origin, unite as one,  chase out all foreigners, work hard and transform Africa into Wakanda.",UgzwYmSsWu2DSle_kwh4AaABAg,2,0,2018-03-15T21:49:40Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Well, during the last 200 years, western countries robbed most of the diamond, gold and oil in Africa. Then China come to invest Africa for less than 20 years, As far as I know, most of the investments are actually bring a better life to african. I suppose the good investment also bring you to China. But, you still bad mouth about it, I can't tell even a little appreciation in your vedio. That's how you treat your friend. Did CIA pay you for this? A quick question, Chinese pay for the land.But they can't build factories there, only  allowed to do some coco farming, then what's the point of buying the land? please let me know.",UgzGtc9OYC9U-WUxJw54AaABAg,1,1,2018-02-22T02:57:26Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
There is zoning in America,UgzGtc9OYC9U-WUxJw54AaABAg.8cxQJpqjLxP9344WU_0eTM,0,0,2019-12-28T04:28:29Z,UgzGtc9OYC9U-WUxJw54AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
The blame goes to the leaders mate,Ugxy0pfEeJvwDZFyOOp4AaABAg,7,0,2018-01-31T13:27:05Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
First your people is too blain by letting them in politicians and greet there or not there to help you just for your resources and I saw some of your videos U are in there country as much as they are in your You are a  perfect example I saw some of your videos,UgwHlMBlszYizgP2BPZ4AaABAg,1,0,2018-01-21T20:20:12Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"Very much more than a million Chinese are selling their fake products and ripping-off Africa and Africans in Africa Hundreds of millions more of Chinese in China are being enriched and benefiting from these scams And this is how Africans are being portrayed in Chinese museums, in China",UgxYA4y66Ulbjmg72ZB4AaABAg,0,0,2017-11-08T02:00:09Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I want to blame the Chinese so bad but I can't Africans have to protect there own land,Ugx3d6GEIzCdt1c5_DZ4AaABAg,4,0,2017-11-03T00:27:38Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
That should not be. When they take every thing they are gone with all the riches same thing they are doing to Jamaica,UgyCkCX0M1qPLNHqqwx4AaABAg,0,0,2017-10-28T01:08:11Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"'I am here to discover it for them'...lmao. Well, first it was the Europeans...now, it's the Chinese!",UgyqbtXIedTey2dxrbt4AaABAg,19,0,2017-10-19T17:35:08Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Blame your stupid government and dumb docile people who support them,Ugx1UQSxtujdY7B5Q8l4AaABAg,4,1,2017-08-24T07:16:19Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
JoStylin If it’s illegal mining then clearly their government isn’t supporting these actions.,Ugx1UQSxtujdY7B5Q8l4AaABAg.8WdFGmI0t_d8eT8uYWMqLL,0,0,2018-03-31T16:31:37Z,Ugx1UQSxtujdY7B5Q8l4AaABAg,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"I am from China,I have buyers who are ready to buy duck tongue,gold,quartz in big quantity,I also have many potential buyers for beef meat,beef offal,pork feet,pork offal,chicken feet&paw,sugar,coffee,etc many products,If you are real   sellers who have interest to develop China huge market with my assistance,welcome to contact me by email   first,bruceye13980720841@163.com,cnbruceye@gmail.com,Best Regards !Bruce Ye",Ugg4t21p9OTk_3gCoAEC,1,0,2017-07-31T10:24:01Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
this ur African mistake,UggaQg4ma4an4HgCoAEC,2,0,2017-06-28T08:13:40Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
For money,UghLJGteO_uTe3gCoAEC,0,0,2017-06-27T08:46:31Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"there are two black guys and only one Chinese guy. How can this happened if those black people deny doing so? as you see, they really need some money to survive, and a chinese guy helps them to find some money, and you blame them? that's not fair bro.",Uggu83-J_RkANHgCoAEC,1,3,2017-06-14T16:33:39Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Dude can a foreigner come to china and start digging any how in China??,Uggu83-J_RkANHgCoAEC.8TnQbgFDFew8TnQmyEUh0c,0,0,2017-06-14T16:35:12Z,Uggu83-J_RkANHgCoAEC,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"I am not from China, don't ask me. but I think you should ask your government to kick them out of your country.",Uggu83-J_RkANHgCoAEC.8TnQbgFDFew8TnSU6liOAp,0,0,2017-06-14T16:49:58Z,Uggu83-J_RkANHgCoAEC,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
if you think people will be happier you should do that.,Uggu83-J_RkANHgCoAEC.8TnQbgFDFew8TnSnbhYP0T,0,0,2017-06-14T16:52:46Z,Uggu83-J_RkANHgCoAEC,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I blame the corrupted African leaders allowing their people to be exploited! I pray the Creator punishes these heathens who put themselves over their own people!,Ughmuc2fAwR2HHgCoAEC,0,0,2017-06-10T17:41:48Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
"I was thinking that Gana is country From Africa  that manenge  it's resources, unbelievable Africa 10000  resources 0 head living in poverty.Mr Gana baby appreciate you keeping going for African liberation.",UgivJ-D414xUwHgCoAEC,2,0,2017-06-01T20:36:57Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
Please this is what the government is doing to hape the community and some poeple said is not good am in Switzerland you can never try this hear in Europe we have to learn,Ugg3PpAgv9d-IXgCoAEC,2,0,2017-05-20T09:00:22Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I'm sorry  but African ppl  take care of mother Africa this is your land it is up to you to take charge,Ugy2RR5Kl2jiX9sQt6h4AaABAg,1,0,2017-03-27T20:01:55Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
I blame your leader it;s a shame everybody knows there is gold in Africa. This not the first time  you all not hip yet. I heard that china make deal with Africa  like they build something  in Africa and they are  allowed to bring 70 percent of the worker from Chinese. That's sad.,UgyiEQikLHonO0Hv6fZ4AaABAg,0,0,2017-03-27T00:34:02Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
This is by far my favorite of all of your videos that I have seen. Environmental protection organizations such as UNEP should recognize you for addressing this issue.,Ugga3iKFzuim7XgCoAEC,3,0,2017-03-11T04:30:14Z,,dFb7K0mc98A,Chinese In Africa || illegal Chinese Gold Mining In Ghana,WODE MAYA,2/24/2017 19:47,31514,704,247
